date,ticker,shares_outstanding,nav,flow_daily,as_of_date,50_day_MA,200_day_MA
2023-01-03,SPY,931982116.0,380.924272,1797481987.2,2023-01-03,,
2023-01-04,SPY,929682116.0,383.812457,-876125825.6,2023-01-04,,
2023-01-05,SPY,929882116.0,379.407639,76762491.4,2023-01-05,,
2023-01-06,SPY,932382116.0,388.074328,948519097.5,2023-01-06,,
2023-01-09,SPY,933682116.0,387.845916,504496626.4,2023-01-09,,
2023-01-10,SPY,934132116.0,390.549286,174530662.2,2023-01-10,,
2023-01-11,SPY,934482116.0,395.568358,136692250.1,2023-01-11,,
2023-01-12,SPY,933882116.0,396.963572,-237341014.8,2023-01-12,,
2023-01-13,SPY,935582116.0,398.560188,674838072.4,2023-01-13,,
2023-01-17,SPY,934732116.0,397.750146,-338776159.8,2023-01-17,,
2023-01-18,SPY,932632116.0,391.566604,-835275306.6,2023-01-18,,
2023-01-19,SPY,934082116.0,388.628287,567771575.8,2023-01-19,,
2023-01-20,SPY,937182116.0,395.977031,1204747689.7,2023-01-20,,
2023-01-23,SPY,935732116.0,400.675803,-574166694.95,2023-01-23,,
2023-01-24,SPY,937432116.0,400.399938,681148865.1,2023-01-24,,
2023-01-25,SPY,937382116.0,400.330254,-20019996.9,2023-01-25,,
2023-01-26,SPY,938082116.0,404.762438,280231177.8,2023-01-26,,
2023-01-27,SPY,936332116.0,405.774102,-708334266.5,2023-01-27,,
2023-01-30,SPY,934882116.0,400.554818,-588372447.9,2023-01-30,,
2023-01-31,SPY,933332116.0,406.418887,-620859967.9,2023-01-31,,
